Record ID,Date Published,Overall Rating,Passenger Country,Trip_verified,Comment title,Comment,Aircraft,Type Of Traveller,Seat Type,Origin,Destination,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Recommended,Inflight Entertainment,Wifi & Connectivity
301,2021-07-22,1,Germany,Trip Verified,"""told that I needed an additional visa""","I was not allowed on the Frankfurt - Stansted - Budapest flight. I was told that I needed an additional visa to the UK. I have a permanent residence permit in Germany.  They were extremely rude to me, they refused to provide any justification, as well as to issue a notice of cancellation from the flight. The documents themselves and boarding passes on the Internet are presented in a terrible form - it is not clear what and where they will require and what they will not.",,Business,Economy Class,Frankfurt,Budapest via Stansted,July 2021,,,,1.0,2.0,no,,
302,2021-07-21,2,Bulgaria,Trip Verified,"""no way I can actually reach Ryanair""","I was tested positive for covid-19 before my flight, for this reason I took and insurance covering a refund in such cases. However , I cannot reach ryanair in any way, chatbot is useless, phones are not being picked up, the refund application form doesn't approve the code of the booking as it is from Bulgaria and the only options are (FR;UK LE). There is no e-mail or customer service in Bulgaria so there is no way I can actually reach Ryanair to apply for the refund which is ridiculous.",,Solo Leisure,Economy Class,Sofia,Milan,July 2021,,,,,1.0,no,,
303,2021-07-20,2,United Kingdom,Trip Verified,"""truly horrible experience""","I had always promised myself I’d never fly Ryanair but this time they were my only option. First up, booking and checking in etc. I found it pretty simple, I heard horror stories about people being charged ridiculous sums at checkin for boarding passes etc but so long as you read the instructions on the website you can’t really go wrong. And that’s the only positive thing I’m going to say about Ryanair. The aircraft was a new looking 737-800. On my flight out to bud from stn I was lucky enough to have an entire row of seats to myself, despite the rest of the aircraft being near capacity. Any airline I’ve flown with, in hot weather, will have the cabin a/c active for boarding. Not Ryanair. We sat in 30 degree heat for about 30 minutes with not so much as a breeze.  That didn’t really matter though, because the overhead fans were just awful. On this aircraft were recessed into the facia, so the direction couldn’t be altered. Add to that the “breeze” wouldn’t have been sufficient to blow out an already fading candle on a child’s birthday cake. I had two fans pointing vaguely in my direction, both set to full, both failing to live up to their job descriptions. The seats were they bad, narrow and with about 2mm of padding.  Now for the speedy boarding scam, I was standing in the terminal in BUD with the rest of the non speedy folk while the last of the speedy boarders had cleared the gate a good ten minutes previously. I was a little miffed up until I saw the speedy boarders all standing in a “cage” section of the air bridge (pictured) completely in air conditioned and completely open to the more than 30 degree heat. Contrast that with the regular folk who were enjoying the departure gate a/c. Both my flight to BUD and return flight to STN arrived late, yet Ryanair insisted upon playing their obnoxious fanfare. A truly horrible experience and I really hope I never have to fly with them again.",Boeing 737-800,Solo Leisure,Economy Class,Budapest,Stansted,July 2021,1.0,1.0,1.0,1.0,2.0,no,,
304,2021-07-20,1,Sweden,Trip Verified,"""The worst service I have experienced""","Do not fly with them, however low the cost might be, you will end up loosing your trip or paying high fees! The personnel of Ryanair at the airport in Madrid were incredibly rude, and uninterested in helping with anything, one woman screamed at me, another threatened to call the cops at a nice lady who also had trouble (and called the cops on a young girl who the staff had promised that a certain document was enough to travel but then when she came to do the check in they denied her). The worst service I have experienced! Shame on Ryanair and it’s staff for treating me and other passages like this!",,Solo Leisure,Economy Class,Madrid,Gothenburg via Stansted,July 2021,1.0,1.0,,1.0,1.0,no,,1.0
305,2021-07-19,1,United Kingdom,Not Verified,"""Ryanair should be shut down""","Ryanair should be shut down. They don’t hire enough staff to get people on the plane even if you are at the airport early enough. Basically in beach or law. They are rude, and it’s a mess. They should be heavily penalized or shut down. More of a public menace.",,Couple Leisure,Economy Class,London,Crete,July 2021,1.0,1.0,1.0,1.0,2.0,no,1.0,1.0
306,2021-07-18,3,Austria,Trip Verified,"""I cannot believe how rude and how the staff don’t care""",I have to say grumpy staff at the check in is already a terrible start. Not everyone flies all the time and knows where to go. I watched the lady first deal with another client. She should not be allowed to deal with people the way she speaks to you. Then I had the same at C05. If this is anything to go by I will avoid Ryanair for sure. Eurowings I had nothing like this. I cannot believe how rude and how the staff don’t care.,,Solo Leisure,Economy Class,Cologne,Vienna,July 2021,2.0,2.0,,1.0,3.0,no,,
307,2021-07-16,1,United States,Not Verified,"""have never seen such disgusting behaviour""",Simply the most inhumane airline I have ever run across. I tried to get help at the Barcelona Ryanair ticketing counter. Then went to their ticketing counter in Mallorca and I tried the boarding staff. Every single person was absolutely rude and unhelpful. I watched a man have to put on layers of clothing so he could board the aircraft within their carry on baggage rules. He had nothing and they just watched as he put layer upon layer of clothing. You know as soon as he boarded he would take off the clothes. I am 60 yrs old and travelled all over the world many times and have never seen such disgusting behaviour.,,Solo Leisure,Economy Class,Barcelona,Ibiza,July 2021,1.0,1.0,,1.0,1.0,no,,
308,2021-07-13,6,Canada,Trip Verified,"""the crew were great""","The ground crew were friendly and efficiently handled the new document requirements for travelling to Italy during the Covid-19 pandemic, including the new EU Digital Covid Certificate. From boarding to deplaning, everything was “Covid Clean”. Our 2 hour 40-minute flight from Sofia to Treviso was on an older 737-800, but it was still relatively ship-shape. The legroom was as expected (dismal) and the snack wasn’t anything to write home about, but the crew were great. The bottom line: Ryanair is what it is - Cheap.",Boeing 737-800,Couple Leisure,Economy Class,Sofia,Venice,July 2021,3.0,3.0,2.0,3.0,4.0,yes,,
309,2021-07-12,3,Italy,Trip Verified,"""precautions against covid-19 are almost non-existent""","Flight was on time and staff were friendly, nothing to say about that. My traveling companion and I had to spend 10 Euro extra each only to have seats close to each other, but this is a well-known part of the deal with Ryanair, so I cannot complain about that either. What I find unacceptable is that, in spite of their assurances, precautions against covid-19 are almost non-existent: to board the plane, people have to stand in a tightly packed line, after that, we were made waiting in a tightly packed corridor without windows. On the plane, although it was announced once at the beginning of the flight that masks are compulsory, about half of the passengers did not were them, but the crew seamed not to bother. When I complained about that to a flight attendant, she answered that they were going to make an announcement about that, but that did not happen. In this period in which a common effort is needed to allow our lives and economies restart without making the pandemic restart again, Ryanair is not making its part!",,Couple Leisure,Economy Class,Budapest,Rome,July 2021,1.0,3.0,,3.0,3.0,no,,
310,2021-07-11,3,Denmark,Trip Verified,"""Shame on you Ryanair!""","I have flown with RyanAir many times and I know what to expect since it’s cheap. But yesterday was my first flight since COVID-19 started. Everything was the usual, but there was one thing that I just can’t help being really really annoyed about. The fact that the place three family members in three different places in the plane (an eleven year old girl alone) during times where we should keep distance to other people. I know as a fact that they did this to other families as well, as I asked the guy next to me to swop seats with my daughter. He got very happy as my daughter was sitting next to his brother. I know this is part of their policy that you have to pay for choosing seats next to each other but during COVID-19 this is simply not good enough. Shame on you Ryanair!",,Family Leisure,Economy Class,Malaga,Palma,July 2021,4.0,2.0,,3.0,4.0,no,,
311,2021-07-06,1,Belgium,Trip Verified,"""bad customer service""","Very bad customer service. When I tried to contact by phone this was answered with an automatic reply and later it was simply dropped. When trying via chat I had to wait almost 5 hours until I was told a contact. However, he could only give me the information I already found on the internet. So I was not helped further. The prices of the tickets are cheap and you can definitely see that in their customer service! Not recommended!  Zeer slechte klantenservice. Toen ik contact probeerde op te nemen via telefoon werd dit beantwoord met een automatisch reply en later werd het gewoon afgelegd. Bij het proberen via de chat moest ik bijna 5 uur wachten totdat ik een contactpersoon te horen kreeg. Die kon me echter enkel de informatie geven die ik al vond op het internet. Ik werd dus niet verder geholpen. De prijzen van de tickets zijn goedkoop en dat zie je zeker terug in hun klantenservice! Geen aanrader!",,Solo Leisure,Economy Class,Bezier,Brussels,July 2021,,,,1.0,1.0,no,,
312,2021-07-03,1,Czech Republic,Trip Verified,"""150 euro of one ticket thrown away""","I had positive experiences in the past with ryanair, better than other low cost. This time though I felt it's important to share. I do not recommend to buy tickets with them now in time of COVID. Ryanair promises to change your flights free of charge or extend voucher, but one week before flight. I supposed to fly to Bologna from Prague, pre condition is to have a PCR test not older than 3 days. My husband got positive and obviously we had to go to quarantine. I reached out ryanair and only option available was actually to change flights, but for every option they were charging full price extra for luggage (it's 40 euro on top of 50 I have already paid for luggage) and therefore any option I was extra I have to pay to keep tickets was way higher than to buy completely new. So I've asked if there is a way to cancel and get at least something back even through voucher to use it for other flight, but 150 euro of one ticket thrown away. But in this particular case it's cheating on clients: we are doing here tests on weekly base and you cannot predict to get Covid before flight if you were fine week before and extra nearly full charge for luggage on top is really stealing money. Now my feelings are that if I have to fly, next time I will buy tickets with someone else.",,Business,Economy Class,Prague,Bologna,July 2021,,,,,1.0,no,,
313,2021-06-23,8,Netherlands,Trip Verified,"""I only paid €5 for this flight""","This was my first flight with Ryanair. The airplane still had the old cabin so the seats were not so comfortable, and the seatpitch was not too great. Boarding went quite fast, and we departed on time. There was catering on board but my debit card didn’t work, so they handed me the bottle of water for free. Can’t complain about that! The cabin crew was nice during the flight. Overall a great first experience, definitely because I only paid €5 for this flight!",Boeing 737-800,Couple Leisure,Economy Class,Amsterdam,Dublin,December 2020,2.0,5.0,3.0,4.0,5.0,yes,,
314,2021-06-23,7,Netherlands,Trip Verified,"""definitely fly Ryanair again""","I had a 3.5 hour delay because of predicted weather conditions. The airline notified me a day before departure. Not there fault of course but i did arrive quite late in Pisa. Boarding went pretty fast, we had to wait outside for 10 minutes, but it went fast overall. The flight was fully booked. It was a plane with the newer seats which had a surprising amount of legroom. The seat however was a little uncomfortable. There was catering on board. Overall i think it was a great flight, especially because it only cost me €25. I will definitely fly Ryanair again soon.",Boeing 737-800,Family Leisure,Economy Class,Eindhoven,Pisa,June 2021,3.0,4.0,,4.0,5.0,yes,,
315,2021-06-15,1,Belgium,Trip Verified,"""Flight cancelled because of ongoing changes to travel restrictions""","Flight was cancelled because of 'ongoing changes to travel restrictions'. However, neither Belgium nor Austria currently have travel restrictions that don't allow people to travel in place. I called the Ryanair customer service, and they said ""we don't have any further information on why your flight was cancelled, and there is no way for you to obtain such information"".",,Solo Leisure,Economy Class,Brussels,Vienna,July 2020,1.0,1.0,,1.0,1.0,no,,
316,2021-06-13,1,United States,Trip Verified,"""we didn’t check in online""",My girlfriend purchased our tickets we flew in for vacation from the US and we vacationed in Santorini however we made plans to fly to Athens while in Greece and spend a night in Athens since we made plans to go to the Acropolis and had dinner reservations. I believe this airline purposely shuts down their site at some point my girlfriend was trying to check us in since the night before and was unable to. She tried before our flight the next morning same situation she kept getting an error. We go to check in at the airport the lady tells us we have to pay a fee of $68 euros each person which is about $83 US dollars because we didn’t check in online. I tried explaining that there was an error online and we were unable to. Meanwhile two other customers had the same issues and one guy was literally yelling in the airport. She told us that unless we had a screenshot there was nothing they could do. Frustrated I paid the money for both of us.,,Couple Leisure,Economy Class,Santorini,Athens,June 2021,1.0,1.0,,1.0,1.0,no,,
317,2021-05-26,9,France,Trip Verified,"""clean plane and covid-19 conscious staff and passengers""","Ryanair does not always enjoy the best reputation. My last flight with them was really OK: on time, clean plane and covid-19 conscious staff and passengers, seats as usual (not really uncomfortable), very good price and very convenient time of flight (arrival at 8:15 am in Rome is perfect.",,Couple Leisure,Economy Class,Budapest,Rome,May 2021,3.0,4.0,,3.0,5.0,yes,,
318,2021-05-12,1,United States,Trip Verified,"""Worst customer service""",Worst customer service. I have been trying for over a year to get a refund for a flight from July 2020. Due to COVID travel restrictions our trip to Ireland was cancelled. I have been trying since May of 2020 to reach someone about getting a refund as our flight to the UK was cancelled and our lodging in Ireland was cancelled. This airline did not answer any emails etc.. for over a year and now has refused to refund the cost of the flight.,,Family Leisure,Economy Class,Boston,Shannon via Gatwick,July 2020,1.0,1.0,,1.0,1.0,no,,
319,2021-04-26,1,United Kingdom,Not Verified,"""What an absolute load of rubbish""","Had flight booked, as advertised you could change at no extra cost. What an absolute load of rubbish. Tried to change my flight which I could do as long as paid £127 extra on a flight out of season. Went on their website where I could book the exact same new flight as a new customer for £19.99. So just lies do not be tempted by their advertising.",,Family Leisure,Economy Class,Alicante,Liverpool,October 2020,1.0,1.0,1.0,1.0,1.0,no,1.0,1.0
320,2021-04-13,10,Italy,Trip Verified,"""I will forever be grateful""","As hard as it is in these days due to pandemic situation, worst that could happen to us is to be separated from our loved ones. I waited for almost 6 months to be able to go home and be with my mom. I have tried to fly out using another airline, two days prior to the current flight I took with Ryanair, and to my shock I was denied to fly because I didn’t have the identity card to be in the country I was flying in.  I had the test results, which were negative, the declaration form. Which I thought I was ready to go. Only because I was not a resident in Italy, I was denied. I emailed the Italian embassy as I was going back home, confused and desperate. They emailed right back and said that I don’t need a permission to enter the country. I found as well the updated info regarding flying to Italy, anyone could fly not only residents from April 7th. I then bought a new airline ticket from Ryanair. More affordable and to my surprise such a COVID 19 friendly use. For example, it has an easy access to all the forms necessary to fill in. And when you check in you upload all the forms and you are all set. All I did at the airport is to check in my big bag and go straight to the gate. I had to ask the person who checked me in if she’s going to check my documents and forms. She said no, because they have them all online as I submitted them. And the COVID test that I took on April 6 was still valid on 11th April and I didn’t have to take another one. I still did, and spend £300 in total. Thank you Ryanair for making this possible for me and my family. I will forever be grateful.",,Solo Leisure,Economy Class,Stansted,Bologna,April 2021,5.0,5.0,,5.0,5.0,yes,,
321,2021-03-02,1,United Kingdom,Trip Verified,"""delayed refund for more than 2 months""","They cancelled my flight in December, which I should be entitled to a refund for. They ""delayed refund for more than 2 months"" and finally come back to me with paperwork claiming I didnt book through their website so I need more ID checks.  I did book through their website they're just stalling trying to keep my money in any way possible.",,Family Leisure,Economy Class,Stansted,Podgorica,January 2021,,,,,1.0,no,,
322,2021-02-21,1,Romania,Trip Verified,"""manners not in the vocabulary""","I had a flight to Tenerife from Luton. Having everything prepared and well informed on the conditions of travel me and other people were forbidden to fly on the grounds that on the same day flying rules had just upgraded (new COVID rules upgrade). I know that these are unpredictable times and one assumes responsibility for his/her journey,yet there was no update on the website. They wouldn’t talk to us, there was this lady that wouldn’t give her name that was repeatedly shouting ‘you won’t fly today’ and when contacted the service support was you just call your embassy etc. I guess humanity and manners not in the vocabulary of Ryanair, and yes I think one person representing the company is the entire company.",,Solo Leisure,Economy Class,Luton,Tenerife,February 2021,,,,,1.0,no,,
323,2021-02-21,1,United Kingdom,Not Verified,"""I didn't take this insulting offer""","Phoned an operator at Ryanair.We told them we both couldn't fly to Spain for our holiday on 13th February because of lock down regulations and the implications of this. With Goverment guidelines we. would be breaking the law. Sent letters, emails and finally got through to head office by phone. Their response was we are still flying and because of this you are not entitled to a refund. Paid £400 for return flight to Malaga from Stansted, the operator said I could change the date for an extra £136, £90 change fee, and £46 flight difference on top. £536 hardly a budget airline to fly to Malaga! I didn't take this insulting offer as I knew several months down the line the same thing would happen again!",,Couple Leisure,Economy Class,Stansted,Malaga,February 2021,,,,,1.0,no,,
324,2021-02-18,1,United Kingdom,Not Verified,"""I am still waiting for a refund""","I don't recommend this airline to anyone. The service is horrible. My flight was cancelled and after 5 months I am still waiting for a refund. The price is also not so cheap as they claim because as you book, the add-ons e.g. price of luggage or seat booking, priority booking make the total price equal non-budget airlines but with much worse service.",,Family Leisure,Economy Class,Stansted,Prague,October 2020,,,,,1.0,no,,
325,2021-01-14,1,Canada,Trip Verified,"""I have never flown with them""","I can't say flown because even though I've booked tickets with them twice, and they've taken my money. I have never flown with them. The first time I showed up at the gate at Gatwick, I was told I could not get a boarding pass because I was from Canada, even though we had a lot Covid-19 infection rate, but OK. When I tried to get a voucher I was told that since the flight was able to leave, I did not qualify for a refund/voucher. The second time, I check online update to confirm my flight has not been cancelled. After putting in my flight details, I get a response that says ""No flights found for the search criteria"". I contact their live chat. They say that the flight has not been cancelled but to check flight update online to confirm. I told them I did and what the response was. The answer was ""I assure you it's not cancelled, but you can check flight update online to conform"".  The airport is a 4 hour drive from where I live but I'm supposed to drive there (and back if cancelled) based on his 'assurance' when even the flight update does know what's going on.",,Solo Leisure,Economy Class,Alicante,London,January 2021,,,,,1.0,no,,
326,2021-01-08,1,Spain,Trip Verified,"""they just cancel whatever flight they want to""","I use to fly between Germany and Spain about 20 roundtrips a year, usually on Ryanair. I consider Ryanair's product to be well suited for my needs. Just a seat, no frills, low price, easy way to get from A to B. Nevertheless within the last weeks Ryanair has started to arbitrarily cancel flights due to a low load factor. Somehow I understand this, when there is a sudden change in government rules and people just stop buying tickets. But now Ryanair just cancels whatever flight, that was offered a few weeks ago, just because their load factor is too low for their needs. This happened about two weeks ago and I had to rearrange my travelling, throwing away a couple of tickets from the 8 flights I had already booked with Ryanair. Now they do the same thing once again and my travel plans are totally screwed. From the few flights Ryanair offers, they just cancel whatever flight they want to, obviously without compensation. Therefore I strongly advice to NOT book any Ryanair flight, unless there is normal travelling available maybe in spring 2022. Until then, stick to the serious companies that do fly, when they offer flights.",Boeing 737-800,Solo Leisure,Economy Class,Barcelona,Frankfurt,December 2020,5.0,4.0,3.0,4.0,1.0,no,,
327,2020-12-27,1,United Kingdom,Trip Verified,"""Treating your loyal customers like this is a sure fire way to going bust""",Due to COVID restrictions we were unable to enter Spain on our 27/12 due date. We Paid over £600 for flights and were told we were not allowed a voucher or refund despite this not being our fault we were told we also had to book before mid March or lose the flight. These alternative flights cost less than £60. We were told we then had to pay a further £18! The person on the chat line for Ryanair was very rude. We take nearly 20 flights a year with Ryanair. Treating your loyal customers like this is a sure fire way to going bust.,Boeing 737,Couple Leisure,Economy Class,East Midlands,Alicante,October 2020,1.0,1.0,,1.0,1.0,no,,
328,2020-12-22,10,Netherlands,Trip Verified,"""almost every row was not fully occupied""","Didn’t expect such a comfortable flight with Ryanair. I flew from Dublin to Amsterdam. The flight was less expensive then the panini onboard (€5,). I didn’t have any luggage with me so the total costs including seat reservation summed up to €11, which was less expensive then my commute to the airport. The plane left on time both ways and we landed earlier. Seat quality was quite good, I expected less for €11,. I am 1.80m tall and my legs weren’t cramped against the seat in front of me. 20 minutes after take off the staff started serving food, with a pretty wide variety of options. I don’t know if it was a precaution or that the flight was just empty, but almost every row was not fully occupied, so that social distancing was possible on the flight.",Boeing 737-800,Solo Leisure,Economy Class,Dublin,Amsterdam,December 2020,1.0,1.0,,1.0,1.0,yes,,
329,2020-12-15,1,United Kingdom,Not Verified,"""I now have to contact my credit card company""","I booked return flights for two directly with Ryanair at a cost of £662. The flights were cancelled. I applied for a refund. I then received an automated email saying that they could not process the refund as I had not booked with them directly. I forwarded the booking to confirm that I had in fact booked with them directly. Nothing. I have tried to call many times and after going through the options I am told that their customer advisors are busy and the line goes dead. The chatbot does not work. Emails go unanswered, save for an automated reply inviting me to accept a voucher. I now have to contact my credit card company to try and get a refund. It is astonishing that a company can get away with this kind of behaviour. I had known that their reputation was desperately poor but I am still surprised and dismayed that the regulators do not take action against them, as I assume that my experience is not unusual.",,Couple Leisure,Economy Class,East Midlands,Riga,December 2020,,,,,1.0,no,,
330,2020-12-06,1,Luxembourg,Not Verified,"""This is misleading""","During covid, ticket exchanges were announced to be free. In fact, they disregard you previous ticket's priority, and charge you 10-20 euros for the new priority on the new ticket, WITHOUT giving an opportunity not to buy priority for the new ticket. In effect, the minimum exchange fee is the price of new priority. This is misleading. Of course Ryanair will pinch your penny on your baggage.",,Solo Leisure,Economy Class,Milan,Luxembourg,December 2020,,,,,1.0,no,,
331,2020-10-30,10,United Kingdom,Trip Verified,"""Another great flight""",Another great flight. Very good system in place to feel safe during Covid. Staff are as usual very polite and good. Stick to their rules and you are bound to have a great value flight.,,Family Leisure,Economy Class,Stansted,Thessaloniki,October 2020,5.0,5.0,,5.0,5.0,yes,,
332,2020-10-13,9,Spain,Not Verified,"""It was extremely comfortable""",My daughter and I flew last week to Belgium from Malaga for just under the 48 hours allowed without quarantine. Brilliant service. New aircraft On time both ways I was expecting a tiny space as I haven't travelled with them for years. It was extremely comfortable and did not feel cramped at all. I will use them next time.,,Family Leisure,Economy Class,Malaga,Brussels,October 2020,5.0,5.0,,5.0,5.0,yes,,
333,2020-10-04,1,United Kingdom,Trip Verified,"""why do Ryanair people keep scamming people like thi""","Ryanair gave a promotion of no fees to change a flight, so I booked my flight on the 10th September, to fly on 3rd October to 13th October. Unfortunately, the Government put travel restrictions (for Poland) as 14 days quarantine on arrival to UK after the holiday (activated from 4 am, 3rd October). I could not manage to get 2 weeks extra holiday, so I changed my mind and I tried to explain this to 4 customer service agents (from 11 am to 4.30 pm), they showed to me their standard rule is a 7-day change rule and did not let me change my ticket date with fees free promotion. They said - I can only change my ticket before 7 days prior to the flight. They are not a legitimate company, there are so many hidden fees. I paid for my tickets (3 people) 203 GBP with parking, but to change my ticket, they asked me to pay 350 GBP (appx.) including seat booking, extra baggage, everything I have to pay again even though I haven’t used anything. Also, they got my money for parking 10 days into a long stay, but they said they are not responsible to deal with my parking at all. So, why do Ryanair people keep scamming people like this. My suggestions to everyone, please stay away from this budget airline, they have got tonnes of hidden fees. My experience is - if you give them your money and you want to change anything, they will rip you off. So, be careful, ignore Ryanair at any cost, nothing is free with them.",,Family Leisure,Economy Class,London Stansted,Krakow,October 2020,,,,,1.0,no,,
334,2020-10-03,2,United Kingdom,Trip Verified,"""train people to better interact with passengers""","On my flight from London Stanstead to Perugia I boarded around 6:10 am and one of the hostesses impressed me with her ways of treating people. At some point in the middle of the flight I wanted to get up to use the loo, I've seen other people standing up or taking their bags but once I approached the loo, the hostess got up from her corner and started yelling really loud go away, go sit down. I would invite the company to do a revision of their staff and to train their people on how to better interact with passengers. What she should have done instead is to politely explain, why I am not allowed to use the loo.",,Solo Leisure,Economy Class,London Stansted,Perugia,September 2020,3.0,1.0,,3.0,2.0,no,,
335,2020-09-22,2,Poland,Trip Verified,"""extra fee for the checking-in""","Not a nice situation with the extra fee for the checking-in at the airport. It is true that the information about the additional costs at the airport is included in the carrier's regulations, but the ground officer at check-in point did not inform about the additional fee.  I wanted to check in my luggage which was previously purchased but it was invisible in his system. He asked me for a credit card, He said it is necessary to check if the baggage was actually purchased, it resulted from the conversation. Unfortunately, I didn't ask if he just wanted to check a baggage fee. Then he issued a bill, as it turned out, he did not check the baggage fee, it was just a fee for checking in at the airport. So, my bad i didn't check the regulations but I ask why personal does not inform about additional fees, costs etc.",,Couple Leisure,Economy Class,Catania,Cracow,September 2020,3.0,5.0,3.0,1.0,3.0,no,,
336,2020-09-03,1,United Kingdom,Trip Verified,"""Jet2 has my business in future""","Ryanair totally mislead with bookings while Coronovirus is going on. Says you can cancel and rebook at no extra cost but totally misleading. Try to change booking and you are charged a great deal more. I booked to go September 2020 to Malaga but with government changes and so therefore not covered with insurance it was to dangerous to go. My friends booked Jet2 and were refunded straight away. I will not book Ryanair in future and I fly 3/4 times a year, now Jet2 has my business in future and I do not think I will be the only person deciding this.",,Family Leisure,Economy Class,Birmingham,Malaga,September 2020,2.0,2.0,,1.0,1.0,no,,
337,2020-09-03,1,Cyprus,Trip Verified,"""I was charged the rebooking fee""","Earlier this year I booked a return flight from Paphos to Stansted. One sector was cancelled and I was offered a free rebooking. With the onset of the pandemic I rebooked for September. The system would not let me rebook just the one sector and charged me a rebooking fee for the sector which had not been cancelled. Fast forward to today; flight back from Stansted cancelled; offered free rebooking. Assured repeatedly on the Ryanair app that the rebooking fee would not be charged at the end of the process. Surprise surprise! I was charged the rebooking fee for the outbound flight, which I had not changed. Moral of the story is to make each sector under a separate booking. Or choose another airline.",,Couple Leisure,Economy Class,Paphos,Stansted,September 2020,,,,,1.0,no,,
338,2020-08-30,10,United Kingdom,Not Verified,"""cabin crew were fantastic""",Bag drop at Edinburgh efficient but staff miserable. On board both ways the cabin crew were fantastic. Polite professional and nothing was too much trouble. Handling at Tenerife also excellent. Quick and efficient. Would recommend.,Boeing 737 800,Solo Leisure,Economy Class,Edinburgh,Tenerife,August 2020,4.0,5.0,4.0,4.0,5.0,yes,,
339,2020-08-29,1,Ireland,Not Verified,"""Have never experienced such bad customer service""","The worst customer service ever especially in Poland. Arrived to Poland with two paid cabin bag (have been travelling with the same bags for the past no of years) but on my return apparently one of those bag was ""too big"" and I was asked to pay double to take it on board. Extremely rude staff. Have never experienced such bad customer service. Not to mention that Ryanair owns my money for 4 cancelled flights since March. The flight was on 29/8/20 from Modlin, Poland to Dublin, Ireland. I was ripped off and had to pay crazy money for a laptop bag. The bag was perfectly fine five days earlier while I was travelling to Poland. I hope that the operator will not survive the Covid restrictions as Ireland desperately need a decent airlines (it's a pity that Aer Lingus do not fly to all destinations).",,Business,Economy Class,Dublin,Warsaw,August 2020,1.0,1.0,1.0,1.0,1.0,no,1.0,1.0
340,2020-08-29,1,United Kingdom,Trip Verified,"""This is fraud!""","After Covid-19 I requested a refund of my money, then after a month they sent me an email saying that I got a voucher and if I want a refund I need to ask for it. I didnt ask again since I had already asked for a refund and the request was accepted. Now on August I find out that I was never in a queue for a refund, and their excuse is that they asked me that if I want a refund I had to ask for it! This is fraud! Now I have to wait for a refund like I just asked for it, waiting for a queue again! In addition, I bought a travel insurance for my flights, and after covid 19 cancellations, Ryannair informed me that they will refund the flight cost excluding the travel insurance cost. Their response was that because I could use the travel insurance for compensation. But then, when I asked if I can get compensation, they told me that according to the terms and conditions, I cannot get compensation for the cancellation. So they kept the insurance amount, even though there is no way to use the travel insurance! I imagine how much money they made from the travel insurance of milions of travelers that never used this travel insurance!",,Family Leisure,Economy Class,Manchester,Rhodes,June 2020,,,,,1.0,no,,
341,2020-08-28,1,Ireland,Trip Verified,"""Blatantly deceiving their customers""",Blatantly deceiving their customers into thinking they are protected with new bookings with free amendments but it’s all lies. If you go to book the flight outright it is half the price of the flight when you are changing it to a new one. So they aren’t officially charging a change fee but it is absorbed in the new flight price. Just shady and misleading. =,,Couple Leisure,Economy Class,Dublin,Luton,August 2020,,,,,1.0,no,,
342,2020-08-27,1,United Kingdom,Trip Verified,"""airline is an absolute disgrace""","This airline is an absolute disgrace, the treatment of customers is truly awful, we have had issues with 3 flights this year, I appreciate that corona virus has caused massive problems across many industries, non more so than the travel industry but the complete and utter disregard shown for its customers by Ryanair is nothing short of unbelievable. This year alone they have told a party of 7 that they could either change there flight date or receive a full refund due to a Covid related issue, we selected the refund but did not receive anything, when we contacted them again they said that they could not give a refund but could change the flights, which we then agreed to, again we heard nothing further and the flights did not change, once again we contacted them and they said that they could not change the flights and we would have to wait for a refund, after several more conversations we ended up changing the flights. These flights were booked to attend a family wedding and the revised flights had us returning early morning the day after the flight, we have logged onto the app tonight to check all the details to find that the return flight has been changed and they have not made any attempt to inform us. The return flight are now 30 minutes before the wedding was due to begin. When we were told for the second time that we would have to apply for a refund we were also told that no refunds would be paid out until the corona virus pandemic had ended. On a separate flight for the honeymoon of said wedding we have spent literally 3 full days waiting to talk to a member of the team on the live chat only to be left sat in the queue all day on each occasion. We regularly travel between Manchester and Naples to visit family and this is the only airline which flys regular direct routes between the 2 airports or I can assure you, we would never fly with this company again. I cannot express in words what a poor excuse for a company they are and my dealings with them have left me feeling that there should be much more stringent rules and regulations governing how airlines operate, I can’t think of any other business where you could change what you are selling to a customer and not be liable to pay them back in full immediately. If you have any other options for flights to any destination in the world then I would strongly recommend you take them as this company does not care for its customers in any way and will offer no help of something goes wrong with your travel plans. Words are really not strong enough to describe what a terribly run organisation this is.",,Couple Leisure,Economy Class,Manchester,Naples,July 2020,,,,,2.0,no,,
343,2020-08-23,2,United Kingdom,Not Verified,"""Their arrogance is stunning""","I have flown Ryanair 20+ times and generally felt I got what I paid for. Never again unless there is absolutely no alternative. My May 12 flight to Murcia was cancelled on April 27 (as expected). I immediately requested refund which was acknowledged saying processing within 20 working days and in my bank 5-7 working days later. It’s now August 23 and my money is still in Ryanair’s bank. It is impossible to talk to customer service, I’ve never had a reply from their online chat service (once ignored for 27 hours before I needed to use computer for something else) and the website is full lies. By contrast Jet 2 paid out promptly for a cancelled March flight. During lockdown I have made 4 flight bookings for holidays in 2o21 (ever hopeful), not one with Ryanair. Their arrogance is stunning and if they think this customer is going to forget they are wrong. They are now the airline of last resort.",,Solo Leisure,Economy Class,Birmingham,Murcia,May 2020,,,,,1.0,no,,
